task,model_name,time_spent
candy,efficientnet_b0,0.02922579999999897

candy,efficientnet_b3,0.04654299999999978

candy,resnet18,0.01851209999999881

candy,resnet34,0.023535100000000142

candy,resnet50,0.03175090000000225

candy,efficientnet_b0,0.016606900000002867

candy,efficientnet_b3,0.03184669999999912

candy,resnet18,0.013021700000003023

candy,resnet34,0.025425300000001982

candy,resnet50,0.02745649999999955

candy,efficientnet_b0,0.01717169999999868

candy,efficientnet_b3,0.03459409999999963

candy,resnet18,0.011283200000001159

candy,resnet34,0.02628620000000126

candy,resnet50,0.027001999999999526

candy,efficientnet_b0,0.04539209999999727

candy,efficientnet_b3,0.03147069999999985

candy,resnet18,0.012031399999997916

candy,resnet34,0.02120379999999855

candy,resnet50,0.02998320000000021

candy,efficientnet_b0,0.015884999999997262

candy,efficientnet_b3,0.02849469999999954

candy,resnet18,0.01021689999999964

candy,resnet34,0.022486199999999457

candy,resnet50,0.02604260000000025

candy,efficientnet_b0,0.015480099999997776

candy,efficientnet_b3,0.027729200000003118

candy,resnet18,0.012050000000002115

candy,resnet34,0.0217445000000005

candy,resnet50,0.028219899999999853

candy,efficientnet_b0,0.016112699999997204

candy,efficientnet_b3,0.030200999999998146

candy,resnet18,0.013553800000000393

candy,resnet34,0.02045100000000133

candy,resnet50,0.027423900000002277

candy,efficientnet_b0,0.016605099999999595

candy,efficientnet_b3,0.0293399999999977

candy,resnet18,0.012339999999998241

candy,resnet34,0.020386900000001873

candy,resnet50,0.02960429999999903

candy,efficientnet_b0,0.016113199999999495

candy,efficientnet_b3,0.028509199999998458

candy,resnet18,0.012844799999999879

candy,resnet34,0.020251900000001655

candy,resnet50,0.026235100000000955

candy,efficientnet_b0,0.01537010000000194

candy,efficientnet_b3,0.027768600000001697

candy,resnet18,0.011908900000001665

candy,resnet34,0.021153800000000444

candy,resnet50,0.027321399999998164

candy,efficientnet_b0,0.015426599999997848

candy,efficientnet_b3,0.030021299999997808

candy,resnet18,0.011771199999998316

candy,resnet34,0.020888000000002904

candy,resnet50,0.028326599999999758

candy,efficientnet_b0,0.016058000000001016

candy,efficientnet_b3,0.027832099999997695

candy,resnet18,0.011651099999998138

candy,resnet34,0.02182290000000009

candy,resnet50,0.025288500000002045

candy,efficientnet_b0,0.014409199999999345

candy,efficientnet_b3,0.027424700000000968

candy,resnet18,0.01154409999999828

candy,resnet34,0.020194100000001214

candy,resnet50,0.02704620000000091

candy,efficientnet_b0,0.014714600000001354

candy,efficientnet_b3,0.026766000000002066

candy,resnet18,0.012008399999999142

candy,resnet34,0.019455900000000526

candy,resnet50,0.026392300000001256

candy,efficientnet_b0,0.01999049999999869

candy,efficientnet_b3,0.027615199999999618

candy,resnet18,0.011568999999997942

candy,resnet34,0.020476099999999775

candy,resnet50,0.02614059999999796

candy,efficientnet_b0,0.017149999999997334

candy,efficientnet_b3,0.027737300000001852

candy,resnet18,0.010255300000000744

candy,resnet34,0.02127090000000109

candy,resnet50,0.026480899999999252

candy,efficientnet_b0,0.01606830000000059

candy,efficientnet_b3,0.026308099999997836

candy,resnet18,0.011909599999999188

candy,resnet34,0.021077100000002957

candy,resnet50,0.02607380000000248

candy,efficientnet_b0,0.015908599999999495

candy,efficientnet_b3,0.02740270000000322

candy,resnet18,0.010174599999999145

candy,resnet34,0.019470900000001734

candy,resnet50,0.026766099999999682

candy,efficientnet_b0,0.014629400000000459

candy,efficientnet_b3,0.0286957000000001

candy,resnet18,0.012546099999998006

candy,resnet34,0.01998529999999832

candy,resnet50,0.02619680000000102

candy,efficientnet_b0,0.01607010000000031

candy,efficientnet_b3,0.026670499999998043

candy,resnet18,0.011293600000001902

candy,resnet34,0.021049500000000165

candy,resnet50,0.025855800000002205

candy,efficientnet_b0,0.022137300000000693

candy,efficientnet_b3,0.026962599999997394

candy,resnet18,0.012259800000002485

candy,resnet34,0.02500260000000054

candy,resnet50,0.026317099999999982

candy,efficientnet_b0,0.016107999999999123

candy,efficientnet_b3,0.027689299999998696

candy,resnet18,0.01315879999999936

candy,resnet34,0.020058999999999827

candy,resnet50,0.026291900000000368

candy,efficientnet_b0,0.014825899999998171

candy,efficientnet_b3,0.02819990000000061

candy,resnet18,0.01022930000000244

candy,resnet34,0.020577799999998092

candy,resnet50,0.025444900000000104

candy,efficientnet_b0,0.0145444000000019

candy,efficientnet_b3,0.027314300000000458

candy,resnet18,0.01096950000000163

candy,resnet34,0.02029759999999925

candy,resnet50,0.025337900000000246

candy,efficientnet_b0,0.01517639999999787

candy,efficientnet_b3,0.025953000000001225

candy,resnet18,0.01187009999999944

candy,resnet34,0.01978160000000173

candy,resnet50,0.027548400000000584

candy,efficientnet_b0,0.01593650000000224

candy,efficientnet_b3,0.027071300000002907

candy,resnet18,0.01081840000000156

candy,resnet34,0.020637700000001757

candy,resnet50,0.025302499999998673

candy,efficientnet_b0,0.014819200000001587

candy,efficientnet_b3,0.028763900000001286

candy,resnet18,0.010593800000002318

candy,resnet34,0.020384199999998742

candy,resnet50,0.025361199999998973

candy,efficientnet_b0,0.014610699999998644

candy,efficientnet_b3,0.026466400000000334

candy,resnet18,0.01242859999999979

candy,resnet34,0.01966730000000183

candy,resnet50,0.02674909999999997

candy,efficientnet_b0,0.015081800000000811

candy,efficientnet_b3,0.026684500000001776

candy,resnet18,0.010200199999999882

candy,resnet34,0.021412099999999157

candy,resnet50,0.026649600000002494

candy,efficientnet_b0,0.01520580000000038

candy,efficientnet_b3,0.028076099999999826

candy,resnet18,0.010894999999997879

candy,resnet34,0.021009499999998127

candy,resnet50,0.024562200000001866

candy,efficientnet_b0,0.015262100000001055

candy,efficientnet_b3,0.026817099999998817

candy,resnet18,0.011716100000001006

candy,resnet34,0.019911900000000315

candy,resnet50,0.026673100000000005

candy,efficientnet_b0,0.015055499999999

candy,efficientnet_b3,0.02695320000000123

candy,resnet18,0.011116300000001189

candy,resnet34,0.02092349999999854

candy,resnet50,0.024954999999998506

candy,efficientnet_b0,0.015981299999999976

candy,efficientnet_b3,0.0263567000000009

candy,resnet18,0.012270000000000891

candy,resnet34,0.019610899999999987

candy,resnet50,0.02574480000000179

