image,run,strategy,moves_taken,completed,first_move,ensemble_agreement_count,ensemble_total_considered,agreement_rate,error
test5,2,monte_carlo,,,,3.0,3.0,1.0,
test5,2,depth3,,,,0.0,3.0,0.0,
test5,3,depth2,5.0,True,,,,,
test5,3,monte_carlo,24.0,True,,,,,
test5,3,depth3,9.0,True,,,,,
test5,3,ensemble,8.0,True,,,,,
test5,3,depth2,,,,0.0,7.0,0.0,
test5,3,monte_carlo,,,,5.0,7.0,0.7142857142857143,
test5,3,depth3,,,,0.0,7.0,0.0,
test5,4,depth2,10.0,True,,,,,
test5,4,monte_carlo,11.0,True,,,,,
test5,4,depth3,8.0,True,,,,,
test5,4,ensemble,9.0,True,,,,,
test5,4,depth2,,,,0.0,8.0,0.0,
test5,4,monte_carlo,,,,7.0,8.0,0.875,
test5,4,depth3,,,,0.0,8.0,0.0,
test5,5,depth2,5.0,True,,,,,
test5,5,monte_carlo,42.0,True,,,,,
test5,5,depth3,7.0,True,,,,,
test5,5,ensemble,9.0,True,,,,,
test5,5,depth2,,,,0.0,5.0,0.0,
test5,5,monte_carlo,,,,5.0,5.0,1.0,
test5,5,depth3,,,,0.0,5.0,0.0,
test6,1,depth2,8.0,True,,,,,
test6,1,monte_carlo,14.0,True,,,,,
test6,1,depth3,13.0,True,,,,,
test6,1,ensemble,5.0,True,,,,,
test6,1,depth2,,,,0.0,4.0,0.0,
test6,1,monte_carlo,,,,4.0,4.0,1.0,
test6,1,depth3,,,,0.0,4.0,0.0,
test6,2,depth2,10.0,True,,,,,
test6,2,monte_carlo,8.0,True,,,,,
test6,2,depth3,8.0,True,,,,,
test6,2,ensemble,11.0,True,,,,,
test6,2,depth2,,,,0.0,9.0,0.0,
test6,2,monte_carlo,,,,7.0,9.0,0.7777777777777778,
test6,2,depth3,,,,0.0,9.0,0.0,
test6,3,depth2,11.0,True,,,,,
test6,3,monte_carlo,25.0,False,,,,,
test6,3,depth3,14.0,True,,,,,
test6,3,ensemble,14.0,True,,,,,
test6,3,depth2,,,,0.0,11.0,0.0,
test6,3,monte_carlo,,,,10.0,11.0,0.9090909090909091,
test6,3,depth3,,,,0.0,11.0,0.0,
test6,4,depth2,12.0,True,,,,,
test6,4,monte_carlo,14.0,True,,,,,
test6,4,depth3,12.0,True,,,,,
test6,4,ensemble,9.0,True,,,,,
test6,4,depth2,,,,0.0,8.0,0.0,
test6,4,monte_carlo,,,,6.0,8.0,0.75,
test6,4,depth3,,,,0.0,8.0,0.0,
test6,5,depth2,9.0,True,,,,,
test6,5,monte_carlo,8.0,True,,,,,
test6,5,depth3,13.0,True,,,,,
test6,5,ensemble,8.0,True,,,,,
test6,5,depth2,,,,0.0,7.0,0.0,
test6,5,monte_carlo,,,,7.0,7.0,1.0,
test6,5,depth3,,,,0.0,7.0,0.0,
test7,1,depth2,21.0,True,,,,,
test7,1,monte_carlo,16.0,True,,,,,
test7,1,depth3,29.0,True,,,,,
test7,1,ensemble,19.0,True,,,,,
test7,1,depth2,,,,0.0,17.0,0.0,
test7,1,monte_carlo,,,,16.0,17.0,0.9411764705882353,
test7,1,depth3,,,,0.0,17.0,0.0,
test7,2,depth2,21.0,True,,,,,
test7,2,monte_carlo,16.0,True,,,,,
test7,2,depth3,1.0,False,,,,,
test7,2,ensemble,51.0,True,,,,,
test7,2,depth2,,,,0.0,41.0,0.0,
test7,2,monte_carlo,,,,36.0,41.0,0.8780487804878049,
test7,2,depth3,,,,0.0,41.0,0.0,
test7,3,depth2,5.0,False,,,,,
test7,3,monte_carlo,24.0,True,,,,,
test7,3,depth3,29.0,True,,,,,
