image,run,strategy,moves_taken,completed,first_move,ensemble_agreement_count,ensemble_total_considered,agreement_rate,error
test26,15,expectimax,,,,5.0,10.0,0.5,
test26,15,softmax,,,,7.0,10.0,0.7,
test26,16,depth,11.0,True,,,,,
test26,16,monte_carlo,18.0,True,,,,,
test26,16,mcts,25.0,True,,,,,
test26,16,expectimax,17.0,True,,,,,
test26,16,softmax,15.0,True,,,,,
test26,16,ensemble,18.0,True,,,,,
test26,16,depth,,,,12.0,16.0,0.75,
test26,16,monte_carlo,,,,12.0,16.0,0.75,
test26,16,mcts,,,,5.0,16.0,0.3125,
test26,16,expectimax,,,,10.0,16.0,0.625,
test26,16,softmax,,,,11.0,16.0,0.6875,
test26,17,depth,11.0,True,,,,,
test26,17,monte_carlo,13.0,True,,,,,
test26,17,mcts,26.0,True,,,,,
test26,17,expectimax,10.0,True,,,,,
test26,17,softmax,16.0,True,,,,,
test26,17,ensemble,10.0,True,,,,,
test26,17,depth,,,,6.0,8.0,0.75,
test26,17,monte_carlo,,,,8.0,8.0,1.0,
test26,17,mcts,,,,3.0,8.0,0.375,
test26,17,expectimax,,,,5.0,8.0,0.625,
test26,17,softmax,,,,5.0,8.0,0.625,
test26,18,depth,22.0,True,,,,,
test26,18,monte_carlo,17.0,True,,,,,
test26,18,mcts,13.0,True,,,,,
test26,18,expectimax,9.0,True,,,,,
test26,18,softmax,17.0,True,,,,,
test26,18,ensemble,9.0,True,,,,,
test26,18,depth,,,,6.0,8.0,0.75,
test26,18,monte_carlo,,,,7.0,8.0,0.875,
test26,18,mcts,,,,4.0,8.0,0.5,
test26,18,expectimax,,,,5.0,8.0,0.625,
test26,18,softmax,,,,2.0,8.0,0.25,
test26,19,depth,16.0,True,,,,,
test26,19,monte_carlo,13.0,True,,,,,
test26,19,mcts,16.0,True,,,,,
test26,19,expectimax,32.0,False,,,,,
test26,19,softmax,22.0,True,,,,,
test26,19,ensemble,16.0,True,,,,,
test26,19,depth,,,,8.0,14.0,0.5714285714285714,
test26,19,monte_carlo,,,,12.0,14.0,0.8571428571428571,
test26,19,mcts,,,,7.0,14.0,0.5,
test26,19,expectimax,,,,7.0,14.0,0.5,
test26,19,softmax,,,,12.0,14.0,0.8571428571428571,
test26,20,depth,20.0,True,,,,,
test26,20,monte_carlo,18.0,True,,,,,
test26,20,mcts,32.0,False,,,,,
test26,20,expectimax,25.0,True,,,,,
test26,20,softmax,17.0,True,,,,,
test26,20,ensemble,11.0,True,,,,,
test26,20,depth,,,,6.0,10.0,0.6,
test26,20,monte_carlo,,,,9.0,10.0,0.9,
test26,20,mcts,,,,4.0,10.0,0.4,
test26,20,expectimax,,,,6.0,10.0,0.6,
test26,20,softmax,,,,9.0,10.0,0.9,
