epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6262,1.80697,3.91188,1.42686,0.04756,0.09019,0.02972,0.01744,1.47646,3.8527,1.19401,0.00017148,0.00017148,0.00017148
2,153.07,1.49003,3.04057,1.16586,0.11199,0.24164,0.19679,0.11583,1.65531,3.3694,1.18788,0.000353713,0.000353713,0.000353713
3,227.518,1.39716,2.30201,1.10837,0.98869,0.25642,0.31609,0.19065,1.67291,2.59996,1.17027,0.000532268,0.000532268,0.000532268
4,302.12,1.41758,1.98729,1.08094,0.97926,0.30718,0.33487,0.18897,1.76609,1.96814,1.15515,0.000707145,0.000707145,0.000707145
5,378.395,1.34269,1.73519,1.02005,0.91073,0.29218,0.29864,0.14647,1.64182,1.66541,1.0135,0.000878343,0.000878343,0.000878343
6,454.33,1.3361,1.56036,1.00328,0.93012,0.30307,0.31527,0.14869,1.74545,1.61203,1.03032,0.00104586,0.00104586,0.00104586
7,530.204,1.36725,1.47424,1.00905,0.2438,0.48353,0.36641,0.22672,1.39192,1.23544,0.92019,0.00120971,0.00120971,0.00120971
8,606.426,1.30779,1.35849,0.97926,0.96855,0.32307,0.36841,0.23074,1.36646,1.2272,0.92658,0.00132997,0.00132997,0.00132997
9,681.419,1.26166,1.20853,0.99215,0.27571,0.62875,0.37419,0.20414,1.46032,1.26207,0.99753,0.00131582,0.00131582,0.00131582
10,756.887,1.28033,1.14995,0.97833,0.31703,0.47204,0.41274,0.2343,1.39547,1.15731,0.99487,0.00130168,0.00130168,0.00130168
11,831.166,1.2786,1.06082,1.00192,0.74614,0.47047,0.44422,0.26519,1.37679,0.95947,1.05971,0.00128753,0.00128753,0.00128753
12,906.137,1.21545,1.01672,0.97758,0.79262,0.49645,0.49021,0.28124,1.35908,0.97114,1.1031,0.00127338,0.00127338,0.00127338
13,978.575,1.25618,0.96222,1.01038,0.83564,0.51041,0.56243,0.31747,1.4258,0.93303,1.16443,0.00125923,0.00125923,0.00125923
14,1055.35,1.20854,0.94016,0.98199,0.87262,0.56021,0.65989,0.38622,1.30906,0.88036,1.1123,0.00124509,0.00124509,0.00124509
15,1129.34,1.25815,0.92627,1.01682,0.90252,0.53521,0.73499,0.43007,1.3562,0.85707,1.12247,0.00123094,0.00123094,0.00123094
16,1205.31,1.22246,0.8913,0.97314,0.67986,0.71811,0.7827,0.47121,1.35994,0.83246,1.10442,0.00121679,0.00121679,0.00121679
17,1282.2,1.20158,0.84504,0.98397,0.6823,0.78283,0.83766,0.50723,1.3182,0.82789,1.10311,0.00120265,0.00120265,0.00120265
18,1355.17,1.1839,0.79538,0.98809,0.70084,0.79687,0.86782,0.52342,1.28433,0.82955,1.09172,0.0011885,0.0011885,0.0011885
19,1431.56,1.14083,0.75061,0.96494,0.80679,0.78303,0.87277,0.52838,1.30333,0.76177,1.09932,0.00117435,0.00117435,0.00117435
20,1505.1,1.13502,0.73859,0.98538,0.86653,0.77317,0.8792,0.53143,1.297,0.75409,1.11359,0.00116021,0.00116021,0.00116021
21,1581.89,1.2013,0.75898,0.95635,0.90445,0.76416,0.88576,0.55613,1.25375,0.73627,1.08046,0.00114606,0.00114606,0.00114606
22,1658.94,1.21034,0.74467,0.9772,0.85739,0.81988,0.90584,0.55256,1.31385,0.75039,1.09527,0.00113191,0.00113191,0.00113191
23,1733.47,1.16476,0.73119,0.98528,0.83743,0.85898,0.93082,0.58902,1.26394,0.73759,1.05284,0.00111776,0.00111776,0.00111776
24,1808.55,1.13447,0.69541,0.96185,0.81652,0.94509,0.93787,0.59337,1.27136,0.72904,1.04624,0.00110362,0.00110362,0.00110362
25,1883,1.15421,0.67257,0.98588,0.95071,0.91313,0.95255,0.5895,1.30616,0.72568,1.06217,0.00108947,0.00108947,0.00108947
26,1957.66,1.14537,0.67646,0.96579,0.9478,0.89996,0.94379,0.59758,1.25519,0.69106,1.04711,0.00107532,0.00107532,0.00107532
27,2033.77,1.15312,0.66997,0.97279,0.95374,0.9044,0.94226,0.58658,1.33501,0.72345,1.07179,0.00106118,0.00106118,0.00106118
28,2107.08,1.14811,0.65298,0.99226,0.94801,0.91964,0.95928,0.60548,1.27345,0.71162,1.04601,0.00104703,0.00104703,0.00104703
29,2181.2,1.11729,0.62533,0.96807,0.94299,0.92457,0.95893,0.60017,1.22603,0.66005,1.04014,0.00103288,0.00103288,0.00103288
30,2255,1.141,0.62681,0.98718,0.94618,0.93367,0.96168,0.5821,1.31973,0.68411,1.0806,0.00101873,0.00101873,0.00101873
31,2330.94,1.16718,0.65718,0.97493,0.94322,0.93268,0.95622,0.60978,1.26423,0.69194,1.04494,0.00100459,0.00100459,0.00100459
32,2406.78,1.14736,0.63717,0.97482,0.94433,0.92887,0.95293,0.59978,1.27265,0.6966,1.04752,0.00099044,0.00099044,0.00099044
33,2483.35,1.14074,0.62847,0.96253,0.94699,0.93776,0.95545,0.60513,1.22807,0.66104,1.0334,0.000976293,0.000976293,0.000976293
34,2550.67,1.09753,0.60979,0.97514,0.93698,0.95172,0.95825,0.58997,1.28729,0.67002,1.0629,0.000962146,0.000962146,0.000962146
35,2617.26,1.10633,0.62412,0.9752,0.93135,0.96262,0.96412,0.58251,1.31755,0.6596,1.07969,0.000947999,0.000947999,0.000947999
36,2694.52,1.12418,0.64765,0.97644,0.94012,0.94733,0.96165,0.60677,1.23622,0.63072,1.05281,0.000933851,0.000933851,0.000933851
37,2769.47,1.13691,0.64309,0.98085,0.95862,0.93838,0.96571,0.59009,1.30702,0.63621,1.09864,0.000919704,0.000919704,0.000919704
38,2843.79,1.15756,0.62426,0.9691,0.96307,0.93232,0.96428,0.584,1.34533,0.64091,1.116,0.000905557,0.000905557,0.000905557
39,2919.19,1.12163,0.62782,0.95492,0.97268,0.92987,0.96492,0.61855,1.22878,0.64011,1.05882,0.00089141,0.00089141,0.00089141
40,2995.07,1.1247,0.60867,0.96967,0.96407,0.94473,0.96951,0.61855,1.2539,0.64363,1.06638,0.000877263,0.000877263,0.000877263
41,3062.47,1.10022,0.59267,0.96177,0.95881,0.9467,0.97128,0.59579,1.336,0.65357,1.08964,0.000863116,0.000863116,0.000863116
42,3130.95,1.09109,0.58563,0.95551,0.96038,0.95229,0.96968,0.61545,1.26726,0.64344,1.05908,0.000848969,0.000848969,0.000848969
43,3198.18,1.10718,0.60073,0.97592,0.95,0.95676,0.95988,0.62138,1.22802,0.6242,1.04082,0.000834822,0.000834822,0.000834822
44,3266.88,1.09719,0.5747,0.96943,0.95326,0.95535,0.95957,0.58928,1.30184,0.63291,1.06567,0.000820675,0.000820675,0.000820675
45,3335.36,1.15019,0.60235,0.97306,0.96189,0.94993,0.96234,0.60114,1.27091,0.62204,1.05518,0.000806528,0.000806528,0.000806528
46,3400.92,1.11544,0.6034,0.97853,0.96197,0.95578,0.96514,0.61548,1.23913,0.61928,1.04314,0.00079238,0.00079238,0.00079238
47,3469.13,1.09483,0.58638,0.95929,0.96377,0.95256,0.96478,0.59998,1.29569,0.62458,1.07588,0.000778233,0.000778233,0.000778233
48,3536.5,1.04595,0.56524,0.96975,0.96032,0.9541,0.96396,0.62012,1.25107,0.61407,1.06035,0.000764086,0.000764086,0.000764086
49,3601.47,1.09395,0.58843,0.98621,0.96356,0.95871,0.96623,0.62089,1.23224,0.61193,1.05548,0.000749939,0.000749939,0.000749939
50,3665.89,1.06893,0.55937,0.97471,0.96556,0.96063,0.96727,0.62131,1.24818,0.61478,1.05947,0.000735792,0.000735792,0.000735792
51,3732.11,1.05857,0.56453,0.94856,0.9692,0.9463,0.96328,0.61552,1.22703,0.59318,1.05031,0.000721645,0.000721645,0.000721645
52,3799.81,1.08471,0.56366,0.9573,0.94702,0.93772,0.95376,0.5939,1.29107,0.60077,1.07806,0.000707498,0.000707498,0.000707498
53,3867.61,1.08907,0.56485,0.97002,0.96057,0.94294,0.96377,0.60298,1.3025,0.59479,1.07972,0.000693351,0.000693351,0.000693351
54,3934.68,1.12282,0.57144,0.98078,0.9604,0.96308,0.9731,0.6005,1.32597,0.60187,1.08923,0.000679204,0.000679204,0.000679204
55,4003.59,1.08042,0.57899,0.96049,0.96689,0.95805,0.97394,0.62191,1.26826,0.603,1.06204,0.000665057,0.000665057,0.000665057
56,4069.96,1.0904,0.56023,0.95429,0.96559,0.95794,0.97079,0.62159,1.24474,0.59786,1.0471,0.000650909,0.000650909,0.000650909
57,4137.01,1.0446,0.57108,0.94604,0.96347,0.95307,0.96881,0.61434,1.25185,0.60741,1.0323,0.000636762,0.000636762,0.000636762
58,4214.73,1.05031,0.53426,0.94931,0.95913,0.95896,0.96654,0.59304,1.28831,0.61246,1.04729,0.000622615,0.000622615,0.000622615
59,4290.82,1.09689,0.55374,0.96771,0.95786,0.95558,0.96342,0.59848,1.24689,0.59395,1.03408,0.000608468,0.000608468,0.000608468
60,4361.57,1.06271,0.55703,0.9536,0.97024,0.9574,0.96243,0.61698,1.21347,0.56724,1.03008,0.000594321,0.000594321,0.000594321
61,4433.07,1.05786,0.54807,0.95639,0.96626,0.95818,0.96465,0.61037,1.2576,0.57309,1.056,0.000580174,0.000580174,0.000580174
62,4503.08,1.04624,0.5669,0.96871,0.9712,0.95942,0.96674,0.60626,1.28694,0.57847,1.06989,0.000566027,0.000566027,0.000566027
63,4579.12,1.02635,0.54642,0.94089,0.95191,0.96641,0.96365,0.61575,1.24918,0.57487,1.05133,0.00055188,0.00055188,0.00055188
64,4651.67,1.01556,0.53512,0.93768,0.95141,0.9612,0.96428,0.61237,1.2598,0.5738,1.05697,0.000537733,0.000537733,0.000537733
65,4723.27,1.0464,0.54758,0.96531,0.95856,0.96675,0.96721,0.60795,1.30291,0.56814,1.0711,0.000523586,0.000523586,0.000523586
66,4794.07,1.03704,0.54699,0.97129,0.96211,0.9686,0.96851,0.61002,1.29969,0.5666,1.07023,0.000509438,0.000509438,0.000509438
67,4869.15,1.0479,0.55125,0.94771,0.96376,0.96819,0.96781,0.62134,1.25015,0.5623,1.05015,0.000495291,0.000495291,0.000495291
68,4945.51,1.05597,0.55859,0.94735,0.9618,0.96193,0.96657,0.61581,1.26014,0.57394,1.05762,0.000481144,0.000481144,0.000481144
69,5018.64,1.00271,0.53021,0.92984,0.95442,0.96798,0.96819,0.61746,1.25425,0.57725,1.05825,0.000466997,0.000466997,0.000466997
70,5090.99,1.04753,0.54696,0.95547,0.9675,0.96819,0.97446,0.60859,1.28573,0.58171,1.07154,0.00045285,0.00045285,0.00045285
71,5165.66,1.05297,0.5467,0.9572,0.96842,0.97599,0.97609,0.61825,1.24378,0.55895,1.05515,0.000438703,0.000438703,0.000438703
72,5240.65,1.01309,0.52329,0.93856,0.9701,0.97181,0.97166,0.61855,1.21115,0.54618,1.04259,0.000424556,0.000424556,0.000424556
73,5313.32,1.03511,0.52796,0.9702,0.96759,0.96527,0.96887,0.61857,1.21873,0.54418,1.04567,0.000410409,0.000410409,0.000410409
74,5388.34,0.98002,0.51531,0.94179,0.96667,0.96142,0.96845,0.6102,1.24093,0.5513,1.0555,0.000396262,0.000396262,0.000396262
75,5455.36,1.0398,0.55535,0.96977,0.96293,0.95671,0.96877,0.6058,1.28477,0.54988,1.07166,0.000382115,0.000382115,0.000382115
76,5521.22,0.99206,0.52676,0.93946,0.96931,0.95671,0.9648,0.60528,1.2811,0.55072,1.06739,0.000367967,0.000367967,0.000367967
77,5587.42,0.98167,0.5158,0.9357,0.96976,0.95534,0.96251,0.61481,1.24928,0.54508,1.05452,0.00035382,0.00035382,0.00035382
78,5651.97,1.01342,0.54199,0.955,0.97028,0.96814,0.97094,0.61692,1.25203,0.53898,1.06049,0.000339673,0.000339673,0.000339673
79,5717.51,0.99856,0.51783,0.95726,0.9681,0.96552,0.96973,0.60772,1.28056,0.54298,1.07313,0.000325526,0.000325526,0.000325526
80,5793.46,0.99723,0.51687,0.9441,0.96514,0.96348,0.96812,0.60601,1.26721,0.53993,1.06707,0.000311379,0.000311379,0.000311379
81,5860.33,0.98131,0.51956,0.9375,0.96576,0.96548,0.96845,0.61987,1.22757,0.52964,1.04991,0.000297232,0.000297232,0.000297232
82,5927.77,1.00937,0.51009,0.94177,0.96299,0.96819,0.9685,0.62075,1.22667,0.53105,1.04717,0.000283085,0.000283085,0.000283085
83,5995.63,0.99529,0.52558,0.94581,0.97099,0.96933,0.96842,0.61641,1.22927,0.53703,1.04794,0.000268938,0.000268938,0.000268938
84,6062.33,0.99169,0.52299,0.94896,0.96786,0.96456,0.96797,0.60551,1.28233,0.53948,1.07098,0.000254791,0.000254791,0.000254791
85,6131.08,0.99388,0.50074,0.93648,0.9654,0.96912,0.96866,0.60955,1.27645,0.53812,1.06675,0.000240644,0.000240644,0.000240644
86,6203.88,1.02467,0.50366,0.94751,0.96845,0.96919,0.96855,0.61824,1.24093,0.52197,1.05601,0.000226497,0.000226497,0.000226497
87,6276.95,0.97139,0.48851,0.92497,0.97231,0.97059,0.96917,0.61886,1.23385,0.51644,1.05209,0.000212349,0.000212349,0.000212349
88,6349.61,1.0081,0.50301,0.93409,0.9696,0.97226,0.96926,0.61598,1.24591,0.5176,1.05711,0.000198202,0.000198202,0.000198202
89,6419.78,0.95988,0.48255,0.9253,0.9666,0.97115,0.97045,0.61247,1.27515,0.52068,1.06696,0.000184055,0.000184055,0.000184055
90,6487.07,0.98168,0.4985,0.93516,0.96659,0.97256,0.97026,0.60944,1.28245,0.52188,1.06889,0.000169908,0.000169908,0.000169908
91,6549.06,0.98931,0.56913,0.9596,0.96816,0.9678,0.96853,0.6104,1.27316,0.52128,1.06646,0.000155761,0.000155761,0.000155761
92,6609.37,0.97188,0.56007,0.95046,0.9664,0.95648,0.96583,0.60804,1.24252,0.52812,1.05301,0.000141614,0.000141614,0.000141614
93,6673.18,0.96507,0.54603,0.95094,0.96913,0.94516,0.96397,0.60715,1.23032,0.53173,1.04901,0.000127467,0.000127467,0.000127467
94,6734.97,0.97331,0.55058,0.94023,0.96399,0.94592,0.96084,0.61078,1.22603,0.53667,1.0493,0.00011332,0.00011332,0.00011332
95,6797.66,0.97111,0.53413,0.9551,0.95903,0.95735,0.959,0.60739,1.23337,0.53839,1.05751,9.91726e-05,9.91726e-05,9.91726e-05
96,6860.82,0.96751,0.51157,0.95054,0.95906,0.96079,0.95878,0.60473,1.24125,0.53944,1.06227,8.50255e-05,8.50255e-05,8.50255e-05
97,6919.78,0.95987,0.50765,0.95338,0.95916,0.96126,0.95903,0.60103,1.25387,0.54006,1.07065,7.08784e-05,7.08784e-05,7.08784e-05
98,6977,0.94448,0.5036,0.93491,0.96182,0.96347,0.95947,0.60134,1.25561,0.53935,1.07311,5.67313e-05,5.67313e-05,5.67313e-05
99,7034.23,0.96252,0.50201,0.95122,0.96047,0.96277,0.95855,0.60026,1.25877,0.53945,1.07433,4.25842e-05,4.25842e-05,4.25842e-05
100,7094.62,0.95574,0.49082,0.94784,0.9593,0.96158,0.95861,0.60192,1.25569,0.53532,1.07312,2.84371e-05,2.84371e-05,2.84371e-05
