epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.781,1.91943,3.00213,1.51091,0.70318,0.31791,0.2988,0.16078,1.51701,3.06182,1.27923,0.00015,0.00015,0.00015
2,326.124,1.39951,1.11418,1.21607,0.53219,0.59574,0.56072,0.35035,1.3616,1.01164,1.23427,0.000309406,0.000309406,0.000309406
3,472.861,1.25462,0.80225,1.16304,0.55292,0.79549,0.75424,0.41295,1.34049,1.89049,1.30051,0.000465595,0.000465595,0.000465595
4,625.117,1.2879,0.72686,1.13581,0.66964,0.80619,0.72303,0.41146,1.32812,1.16958,1.2639,0.000618566,0.000618566,0.000618566
5,777.843,1.21574,0.66605,1.08467,0.86027,0.82755,0.86724,0.54699,1.28609,1.13008,1.20863,0.00076832,0.00076832,0.00076832
6,923.951,1.1754,0.63578,1.06735,0.79428,0.91909,0.90576,0.54743,1.36924,0.93692,1.24455,0.000914856,0.000914856,0.000914856
7,1075.57,1.20152,0.62,1.05999,0.83329,0.96343,0.94141,0.61799,1.25444,0.86537,1.19288,0.00105817,0.00105817,0.00105817
8,1218.3,1.16185,0.62169,1.02595,0.78219,0.95289,0.92403,0.60252,1.22984,0.85538,1.16664,0.00116337,0.00116337,0.00116337
9,1369.87,1.12629,0.5915,1.06041,0.81556,0.91511,0.93454,0.59094,1.24166,0.68628,1.16863,0.001151,0.001151,0.001151
10,1510.84,1.15026,0.5828,1.02851,0.85811,0.85747,0.93074,0.58354,1.22383,0.60972,1.15667,0.00113863,0.00113863,0.00113863
11,1653.64,1.14827,0.60328,1.07732,0.84994,0.96454,0.96235,0.61206,1.23557,0.58185,1.16106,0.00112625,0.00112625,0.00112625
12,1801.51,1.1171,0.56572,1.04282,0.90414,0.97083,0.95524,0.62487,1.26804,0.56403,1.16686,0.00111388,0.00111388,0.00111388
13,1936.73,1.19001,0.57566,1.08853,0.93427,0.97124,0.96029,0.60888,1.37036,0.57208,1.23988,0.0011015,0.0011015,0.0011015
14,2073.52,1.15106,0.55751,1.04412,0.93702,0.96942,0.9593,0.6462,1.21457,0.56471,1.126,0.00108913,0.00108913,0.00108913
15,2208.71,1.16794,0.58149,1.07997,0.95346,0.96897,0.97126,0.63537,1.27216,0.53211,1.17096,0.00107675,0.00107675,0.00107675
16,2349.12,1.1382,0.54298,1.02803,0.95508,0.967,0.96835,0.64082,1.27225,0.53567,1.16521,0.00106437,0.00106437,0.00106437
17,2494.05,1.12091,0.54593,1.04412,0.91863,0.98177,0.96068,0.65116,1.26312,0.55739,1.15629,0.001052,0.001052,0.001052
18,2632.89,1.10772,0.55359,1.04778,0.95592,0.96347,0.96394,0.64259,1.30249,0.52666,1.18779,0.00103962,0.00103962,0.00103962
19,2781.03,1.08394,0.50216,1.01247,0.95851,0.96546,0.96142,0.65955,1.25158,0.51162,1.14838,0.00102725,0.00102725,0.00102725
