epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.034,1.84939,4.04557,1.66262,0,0,0,0,1.05256,4.13232,0.9931,0,0,0
2,6.162,1.91823,4.11133,1.39312,0,0,0,0,1.03467,4.13322,0.98571,1.41485e-05,1.41485e-05,1.41485e-05
3,9.102,1.71842,4.07727,1.46494,0,0,0,0,0.99828,4.13079,0.97236,2.80141e-05,2.80141e-05,2.80141e-05
4,12.343,2.07457,4.1148,1.30462,0,0,0,0,0.96,4.12627,0.95413,4.15968e-05,4.15968e-05,4.15968e-05
