epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1156.46,0.99081,0.82909,0.93484,0.87747,0.52439,0.61358,0.40812,0.99564,0.65331,0.95745,0.000848969,0.000848969,0.000848969
43,1183.45,1.04785,0.78254,0.93294,0.87579,0.51422,0.59954,0.40455,0.99588,0.6584,0.95876,0.000834822,0.000834822,0.000834822
44,1209.79,0.99617,0.75736,0.95878,0.84202,0.54065,0.59232,0.39517,1.00598,0.66849,0.96021,0.000820675,0.000820675,0.000820675
45,1236.33,0.98751,0.80842,0.92166,0.84202,0.54065,0.59232,0.39517,1.00598,0.66849,0.96021,0.000806528,0.000806528,0.000806528
46,1263.38,0.98534,0.75334,0.91368,0.85573,0.56911,0.6096,0.39184,1.0497,0.6772,0.97063,0.00079238,0.00079238,0.00079238
47,1291.01,1.02094,0.75742,0.91698,0.87142,0.58537,0.6205,0.40579,1.00503,0.64416,0.95226,0.000778233,0.000778233,0.000778233
48,1317.9,0.99969,0.73356,0.92533,0.87142,0.58537,0.6205,0.40579,1.00503,0.64416,0.95226,0.000764086,0.000764086,0.000764086
49,1347.09,0.96049,0.76689,0.9149,0.90289,0.55898,0.61994,0.41575,0.99137,0.62664,0.94992,0.000749939,0.000749939,0.000749939
50,1381.03,0.93682,0.69802,0.91386,0.90289,0.55898,0.61994,0.41575,0.99137,0.62664,0.94992,0.000735792,0.000735792,0.000735792
51,1409.91,0.98884,0.76342,0.90017,0.90055,0.55691,0.6378,0.43215,1.00106,0.62219,0.94675,0.000721645,0.000721645,0.000721645
52,1437.91,0.9924,0.78135,0.90029,0.95861,0.55691,0.6567,0.44443,0.98675,0.63436,0.92967,0.000707498,0.000707498,0.000707498
53,1464.64,0.9911,0.72192,0.92707,0.95861,0.55691,0.6567,0.44443,0.98675,0.63436,0.92967,0.000693351,0.000693351,0.000693351
54,1491.38,1.02268,0.69202,0.92391,0.9547,0.56098,0.6677,0.44687,1.00081,0.66601,0.93215,0.000679204,0.000679204,0.000679204
55,1518.12,0.90626,0.73494,0.9292,0.90402,0.59756,0.66001,0.44588,0.99619,0.6877,0.93795,0.000665057,0.000665057,0.000665057
56,1544.78,0.96097,0.70043,0.9314,0.90402,0.59756,0.66001,0.44588,0.99619,0.6877,0.93795,0.000650909,0.000650909,0.000650909
57,1571.74,0.96534,0.67385,0.93239,0.89203,0.60384,0.66021,0.44098,0.99623,0.68885,0.94349,0.000636762,0.000636762,0.000636762
58,1597.96,0.95614,0.66891,0.93379,0.89203,0.60384,0.66021,0.44098,0.99623,0.68885,0.94349,0.000622615,0.000622615,0.000622615
59,1624.99,1.01013,0.68585,0.92188,0.92267,0.5817,0.65893,0.43578,1.00176,0.67774,0.94819,0.000608468,0.000608468,0.000608468
60,1652.21,0.9575,0.67673,0.90562,0.92458,0.56109,0.64468,0.42806,1.00509,0.6671,0.94873,0.000594321,0.000594321,0.000594321
61,1679.48,0.94481,0.69508,0.91156,0.92458,0.56109,0.64468,0.42806,1.00509,0.6671,0.94873,0.000580174,0.000580174,0.000580174
62,1706.17,0.95545,0.69123,0.92268,0.91089,0.57724,0.63562,0.43061,1.00636,0.66354,0.9449,0.000566027,0.000566027,0.000566027
63,1732.78,0.91546,0.63933,0.91915,0.89341,0.5813,0.6405,0.42902,1.00738,0.66001,0.94566,0.00055188,0.00055188,0.00055188
64,1758.58,0.93343,0.66201,0.92674,0.89341,0.5813,0.6405,0.42902,1.00738,0.66001,0.94566,0.000537733,0.000537733,0.000537733
65,1784.41,0.8786,0.61681,0.90906,0.90814,0.58459,0.64709,0.43007,1.01296,0.6514,0.95073,0.000523586,0.000523586,0.000523586
66,1811.21,0.93915,0.63395,0.91063,0.90814,0.58459,0.64709,0.43007,1.01296,0.6514,0.95073,0.000509438,0.000509438,0.000509438
67,1837.91,0.92983,0.64181,0.9154,0.91439,0.5813,0.64908,0.43192,1.01835,0.64535,0.9477,0.000495291,0.000495291,0.000495291
68,1864.56,0.89316,0.64834,0.90533,0.91884,0.60569,0.66242,0.44317,1.00813,0.63633,0.94009,0.000481144,0.000481144,0.000481144
69,1891.94,0.97811,0.65077,0.90771,0.91884,0.60569,0.66242,0.44317,1.00813,0.63633,0.94009,0.000466997,0.000466997,0.000466997
70,1919.04,0.92901,0.62729,0.91244,0.91721,0.60163,0.6642,0.44524,0.99492,0.63644,0.93566,0.00045285,0.00045285,0.00045285
71,1944.73,0.90666,0.62372,0.91272,0.92173,0.61382,0.67134,0.45293,0.97683,0.62534,0.93733,0.000438703,0.000438703,0.000438703
72,1970.45,0.89562,0.66959,0.92315,0.92173,0.61382,0.67134,0.45293,0.97683,0.62534,0.93733,0.000424556,0.000424556,0.000424556
73,1996.29,0.86641,0.61274,0.90394,0.92435,0.60524,0.68913,0.45398,0.98791,0.61602,0.94514,0.000410409,0.000410409,0.000410409
74,2023.1,0.92426,0.67673,0.90041,0.92435,0.60524,0.68913,0.45398,0.98791,0.61602,0.94514,0.000396262,0.000396262,0.000396262
75,2050.15,0.89347,0.61239,0.90045,0.92373,0.60272,0.69632,0.45778,0.98591,0.60709,0.94224,0.000382115,0.000382115,0.000382115
